Class,Methods
AcidState,draw
AcidState,handleInput
AcidState,update

BasicState,draw
BasicState,handleInput
BasicState,update

GameState,draw
GameState,handleInput
GameState,init
GameState,update

GameStateManager,draw
GameStateManager,loadState
GameStateManager,setPaused
GameStateManager,setState
GameStateManager,update

GameStateManagerTest,loadState

HowtoPlay,draw
HowtoPlay,handleInput

Level1State,init

Level2State,init

Level3State,init
Level3State,update

Level4State,draw
Level4State,eventBossDead
Level4State,handleInput
Level4State,init
Level4State,update

LevelTest,init
LevelTest,update

MenuState,draw
MenuState,handleInput

OptionsState,draw
OptionsState,handleInput
OptionsState,update




PauseState,draw
PauseState,handleInput
PauseState,update

