Class,Methods
AcidState,draw
AcidState,handleInput
AcidState,update

Animation,getCount
Animation,getFrame
Animation,getImage
Animation,hasPlayed
Animation,hasPlayedOnce
Animation,setDelay
Animation,setFrame
Animation,setFrames
Animation,setNumFrames
Animation,update

Background,draw
Background,getx
Background,gety
Background,setDimensions
Background,setPosition
Background,setScale
Background,setVector
Background,update

BasicState,draw
BasicState,handleInput
BasicState,update

BatBatGame,main
BatBatGame,run

BatBatSpring,main


Content,getEnergyParticle
Content,getExplosions
Content,getRedEnergy
Content,getUfo
Content,getXhelbat
Content,getZogu
Content,load

Enemy.EnemyType,valueOf
Enemy.EnemyType,values

Enemy,getDamage
Enemy,hit
Enemy,isDead
Enemy,shouldRemove
Enemy,update

EnemyProjectile,getDamage
EnemyProjectile,setHit
EnemyProjectile,shouldRemove
EnemyProjectile,update

EnergyParticle,shouldRemove
EnergyParticle,update

Explosion,draw
Explosion,shouldRemove
Explosion,update

FireBall,isHit
FireBall,setHit
FireBall,shouldRemove
FireBall,update

Flyer.FlyerType,valueOf
Flyer.FlyerType,values


GamePanel,addNotify
GamePanel,keyPressed
GamePanel,keyReleased
GamePanel,keyTyped
GamePanel,run

GameState,draw
GameState,handleInput
GameState,init
GameState,update

GameStateManager,draw
GameStateManager,loadState
GameStateManager,setPaused
GameStateManager,setState
GameStateManager,update

GameStateManagerTest,loadState

HowtoPlay,draw
HowtoPlay,handleInput

HUD,draw

JukeBox,close
JukeBox,getFrames
JukeBox,getPosition
JukeBox,init
JukeBox,load
JukeBox,loop
JukeBox,loop
JukeBox,loop
JukeBox,loop
JukeBox,play
JukeBox,play
JukeBox,resume
JukeBox,setPosition
JukeBox,stop

Keys,anyKeyPress
Keys,getKeyState
Keys,isPressed
Keys,keySet
Keys,update

KeysTest,isPressedTest
KeysTest,updateTest

Level1State,init

Level2State,init

Level3State,init
Level3State,update

Level4State,draw
Level4State,eventBossDead
Level4State,handleInput
Level4State,init
Level4State,update

LevelTest,init
LevelTest,update


MapObject,calculateCorners
MapObject,checkTileMapCollision
MapObject,contains
MapObject,contains
MapObject,draw
MapObject,getCHeight
MapObject,getCWidth
MapObject,getHeight
MapObject,getRectangle
MapObject,getWidth
MapObject,getx
MapObject,gety
MapObject,intersects
MapObject,intersects
MapObject,isFacingRight
MapObject,notOnScreen
MapObject,setDown
MapObject,setJumping
MapObject,setLeft
MapObject,setMapPosition
MapObject,setPosition
MapObject,setRight
MapObject,setUp
MapObject,setVector

MapObjectTest,checkTileMapCollision

MenuState,draw
MenuState,handleInput

OptionsState,draw
OptionsState,handleInput
OptionsState,update




PauseState,draw
PauseState,handleInput
PauseState,update

Player,draw
Player,gainLife
Player,getHealth
Player,getLives
Player,getMaxHealth
Player,getNextPosition
Player,getScore
Player,getTime
Player,getTimeToString
Player,hit
Player,increaseScore
Player,init
Player,isDashing
Player,loseLife
Player,reset
Player,setAttacking
Player,setCharging
Player,setDashing
Player,setDead
Player,setEmote
Player,setHealth
Player,setJumping
Player,setLives
Player,setTeleporting
Player,setTime
Player,stop
Player,update

PlayerSave,getHealth
PlayerSave,getLives
PlayerSave,getTime
PlayerSave,init
PlayerSave,setHealth
PlayerSave,setLives
PlayerSave,setTime

PlayerSaveTest,getHealth
PlayerSaveTest,getLives
PlayerSaveTest,getTime
PlayerSaveTest,init
PlayerSaveTest,PlayerSave

PlayerTest,TestGetTimeToString
PlayerTest,TestSetAttacking

Portal,isOpened
Portal,setClosed
Portal,setOpened
Portal,setOpening
Portal,update

RedEnergy,setPermanent
RedEnergy,setType
RedEnergy,update

Spirit,draw
Spirit,setActive
Spirit,update

Teleport,update

Tile,getImage
Tile,getType

TileMap,draw
TileMap,fixBounds
TileMap,getHeight
TileMap,getNumCols
TileMap,getNumRows
TileMap,getTileSize
TileMap,getType
TileMap,getWidth
TileMap,getx
TileMap,gety
TileMap,isShaking
TileMap,loadMap
TileMap,loadTiles
TileMap,setBounds
TileMap,setPosition
TileMap,setShaking
TileMap,setTween
TileMap,update

Title,begin
Title,draw
Title,reset
Title,sety
Title,shouldRemove
Title,update

Ufo,draw
Ufo,update

XhelBat,draw
XhelBat,update

Zogu,draw
Zogu,update

Method,# of occurrence
draw,20
handleInput,8
update,27
getCount,1
getFrame,1
getImage,2
hasPlayed,1
hasPlayedOnce,1
setDelay,1
setFrame,1
setFrames,1
setNumFrames,1
getx,3
gety,3
setDimensions,1
setPosition,4
setScale,1
setVector,2
main,2
run,2
getEnergyParticle,1
getExplosions,1
getRedEnergy,1
getUfo,1
getXhelbat,1
getZogu,1
load,2
valueOf,2
values,2
getDamage,2
hit,2
isDead,1
shouldRemove,6
setHit,2
isHit,1
addNotify,1
keyPressed,1
keyReleased,1
keyTyped,1
init,10
loadState,2
setPaused,1
setState,1
close,1
getFrames,1
getPosition,1
loop,4
play,2
resume,1
stop,2
