Method,# of occurrence,Location
update,27,"AcidState,Animation,Background,BasicState,Enemy,EnemyProjectile,EnergyParticle,Explosion,FireBall,GameState,GameStateManager,Keys,Level3State,Level4State,LevelTest,OptionsState,PauseState,Player,Portal,RedEnergy,Spirit,Teleport,TileMap,Title,Ufo,XhelBat,Zogu"
draw,20,"AcidState,Background,BasicState,Explosion,GameState,GameStateManager,HowtoPlay,HUD,Level4State,MapObject,MenuState,OptionsState,PauseState,Player,Spirit,TileMap,Title,Ufo,XhelBat,Zogu"
init,10,"GameState,JukeBox,Level1State,Level2State,Level3State,Level4State,LevelTest,Player,PlayerSave,PlayerSaveTest"
handleInput,8,"AcidState,BasicState,GameState,HowtoPlay,Level4State,MenuState,OptionsState,PauseState"
shouldRemove,6,"Enemy,EnemyProjectile,EnergyParticle,Explosion,FireBall,Title"
setPosition,4,"Background,JukeBox,MapObject,TileMap"
loop,4,"JukeBox,JukeBox,JukeBox,JukeBox"
getx,3,"Background,MapObject,TileMap"
gety,3,"Background,MapObject,TileMap"
getHealth,3,"Player,PlayerSave,PlayerSaveTest"
getLives,3,"Player,PlayerSave,PlayerSaveTest"
getTime,3,"Player,PlayerSave,PlayerSaveTest"
getImage,2,"Animation,Tile"
setVector,2,"Background,MapObject"
main,2,"BatBatGame,BatBatSpring"
run,2,"BatBatGame,GamePanel"
load,2,"Content,JukeBox"
valueOf,2,"Enemy.EnemyType,Flyer.FlyerType"
values,2,"Enemy.EnemyType,Flyer.FlyerType"
getDamage,2,"Enemy,EnemyProjectile"
hit,2,"Enemy,Player"
setHit,2,"EnemyProjectile,FireBall"
loadState,2,"GameStateManager,GameStateManagerTest"
play,2,"JukeBox,JukeBox"
stop,2,"JukeBox,Player"
checkTileMapCollision,2,"MapObject,MapObjectTest"
contains,2,"MapObject,MapObject"
getHeight,2,"MapObject,TileMap"
getWidth,2,"MapObject,TileMap"
intersects,2,"MapObject,MapObject"
setJumping,2,"MapObject,Player"
reset,2,"Player,Title"
setHealth,2,"Player,PlayerSave"
setLives,2,"Player,PlayerSave"
setTime,2,"Player,PlayerSave"
getType,2,"Tile,TileMap"
getCount,1,Animation
getFrame,1,Animation
hasPlayed,1,Animation
hasPlayedOnce,1,Animation
setDelay,1,Animation
setFrame,1,Animation
setFrames,1,Animation
setNumFrames,1,Animation
setDimensions,1,Background
setScale,1,Background
getEnergyParticle,1,Content
getExplosions,1,Content
getRedEnergy,1,Content
getUfo,1,Content
getXhelbat,1,Content
getZogu,1,Content
isDead,1,Enemy
isHit,1,FireBall
addNotify,1,GamePanel
keyPressed,1,GamePanel
keyReleased,1,GamePanel
keyTyped,1,GamePanel
setPaused,1,GameStateManager
setState,1,GameStateManager
close,1,JukeBox
getFrames,1,JukeBox
getPosition,1,JukeBox
resume,1,JukeBox
anyKeyPress,1,Keys
getKeyState,1,Keys
isPressed,1,Keys
keySet,1,Keys
isPressedTest,1,KeysTest
updateTest,1,KeysTest
eventBossDead,1,Level4State
calculateCorners,1,MapObject
getCHeight,1,MapObject
getCWidth,1,MapObject
getRectangle,1,MapObject
isFacingRight,1,MapObject
notOnScreen,1,MapObject
setDown,1,MapObject
setLeft,1,MapObject
setMapPosition,1,MapObject
setRight,1,MapObject
setUp,1,MapObject
gainLife,1,Player
getMaxHealth,1,Player
getNextPosition,1,Player
getScore,1,Player
getTimeToString,1,Player
increaseScore,1,Player
isDashing,1,Player
loseLife,1,Player
setAttacking,1,Player
setCharging,1,Player
setDashing,1,Player
setDead,1,Player
setEmote,1,Player
setTeleporting,1,Player
PlayerSave,1,PlayerSaveTest
TestGetTimeToString,1,PlayerTest
TestSetAttacking,1,PlayerTest
isOpened,1,Portal
setClosed,1,Portal
setOpened,1,Portal
setOpening,1,Portal
setPermanent,1,RedEnergy
setType,1,RedEnergy
setActive,1,Spirit
fixBounds,1,TileMap
getNumCols,1,TileMap
getNumRows,1,TileMap
getTileSize,1,TileMap
isShaking,1,TileMap
loadMap,1,TileMap
loadTiles,1,TileMap
setBounds,1,TileMap
setShaking,1,TileMap
setTween,1,TileMap
begin,1,Title
sety,1,Title
